lhu7, lhu, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
lhu8, lhu, Pass, ob1717, | expected exit code: 69 actual exit code: 69 |
lhu9, lhu, Pass, ob1717, | expected exit code: 122 actual exit code: 122 |
lhu, lhu, Pass, ES5017, | expected exit code: 122 actual exit code: 122 | extra info: tests simple case for lhu |
lui, lui, Pass, ES5017, | expected output: 103 actual output: 103 | extra info: tests simple case for lui |
lw10, lw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
lw11, lw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
lw12, lw, Pass, ob1717, | expected exit code: 122 actual exit code: 122 |
lw13, lw, Pass, ob1717, | expected exit code: 122 actual exit code: 122 |
lw14, lw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
lw1, lw, Pass, ES5017, | expected exit code: -11 actual exit code: -11 | extra info: loads a word from unreadable memory and throws exception |
lw2, lw, Pass, ES5017, | expected output: 104 101 108 108 111 255 actual output: 104 101 108 108 111 255 | expected exit code: 0 actual exit code: 0 | extra info: test memory mapped input with lw assuming memory mapped output works and ensured the eof characters is returned |
lw3, lw, Pass, ES5017, | expected exit code: 19 actual exit code: 19 | extra info: test memory mapped input without memory mapped output |
lw4, lw, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests uninitialised word  |
lw5, lw, Pass, ES5017, | expected exit code: -11 actual exit code: -11 | extra info: tests misaligned word  |
lw6, lw, Pass, ES5017, | expected exit code: -11 actual exit code: -11 | extra info: tests load word reading outside addr_data range throws exception |
lw7, lw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
lw8, lw, Pass, ob1717, | expected exit code: 69 actual exit code: 69 |
lw9, lw, Pass, ob1717, | expected exit code: 0 actual exit code: 0 |
lwl1, lwl, Pass, ES5017, | expected output: 52 205 actual output: 52 205 | extra info: tests lwl merges the register |
lwl2, lwl, Pass, ES5017, | expected output: 170 103 actual output: 170 103 | extra info: tests lwl aligned |
lwl, lwl, Pass, ES5017, | expected exit code: -51 actual exit code: -51 | extra info: test simple case for lwl  |
lw, lw, Pass, ES5017, | expected exit code: 9 actual exit code: 9 | extra info: tests simple case for load word |
lwr1, lwr, Pass, ES5017, | expected output: 137 103 170 171 actual output: 137 103 170 171 | extra info: tests lwl with lwr and register merge is correct |
lwr2, lwr, Pass, ES5017, | expected output: 103 18 actual output: 103 18 | extra info: tests lwr aligned |
lwr, lwr, Pass, ES5017, | expected exit code: -119 actual exit code: -119 | extra info: test simple case for lwr  |
mthi, mthi, Pass, ES5017, | expected exit code: 9 actual exit code: 9 | extra info: tests simple mthi |
mtlo, mtlo, Pass, ES5017, | expected exit code: -10 actual exit code: -10 | extra info: tests simple mtlo |
mult, mult, Pass, ES5017, | expected output: 13 255 actual output: 13 255 | extra info: tests simple multiply of negative and positive ints |
multu, multu, Pass, ES5017, | expected output: 13 127 actual output: 13 127 | extra info: tests simple multiply unsigned |
ori, ori, Pass, ES5017, | expected exit code: 127 actual exit code: 127 | extra info: tests simple case for ori |
or, or, Pass, ES5017, | expected exit code: 127 actual exit code: 127 | extra info: tests simple case for or |
sb1, sb, Fail, ES5017, | expected output: 99 84 122 actual output: 24 160 208 | expected exit code: 0 actual exit code: 0 | extra info: tests that sb triggers stdout |
sb2, sb, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sb3, sb, Pass, ob1717, | expected exit code: 70 actual exit code: 70 |
sb4, sb, Pass, ob1717, | expected exit code: 70 actual exit code: 70 |
sb5, sb, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sb, sb, Pass, ES5017, | expected exit code: -51 actual exit code: -51 | extra info: tests simple case for sb |
sh1, sh, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests that only bottom halfword is stored |
sh2, sh, Fail, ES5017, | expected output: 99 84 122 actual output: 140 80 232 | expected exit code: 0 actual exit code: 0 | extra info: tests that sh triggers stdout |
sh3, sh, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sh4, sh, Pass, ob1717, | expected exit code: 18 actual exit code: 18 |
sh5, sh, Pass, ob1717, | expected exit code: 18 actual exit code: 18 |
sh6, sh, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sh, sh, Pass, ES5017, | expected exit code: -85 actual exit code: -85 | extra info: tests simple case for sh |
sll, sll, Pass, ES5017, | expected exit code: 24 actual exit code: 24 | extra info: tests simple case for sll |
sllv, sllv, Pass, ES5017, | expected exit code: 96 actual exit code: 96 | extra info: tests case for sllv making sure to only use low 5 order bits of gpr |
slt1, slt, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests simple case for slt condition not met |
slti1, slti, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests simple case for slti condition not met |
slti, slti, Pass, ES5017, | expected exit code: 1 actual exit code: 1 | extra info: tests simple case for slti and ensures numbers are compared as signed |
sltiu1, sltiu, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests simple case for sltiu condition not met |
sltiu, sltiu, Pass, ES5017, | expected exit code: 1 actual exit code: 1 | extra info: tests simple case for sltu and ensures numbers are compared as unsigned |
slt, slt, Pass, ES5017, | expected exit code: 1 actual exit code: 1 | extra info: tests simple case for slt and ensures numbers are compared as signed |
sltu1, sltu, Pass, ES5017, | expected exit code: 0 actual exit code: 0 | extra info: tests simple case for sltu condition not met |
sltu, sltu, Pass, ES5017, | expected exit code: 1 actual exit code: 1 | extra info: tests simple case for sltu and ensures numbers are compared as unsigned |
sra, sra, Pass, ES5017, | expected exit code: -2 actual exit code: -2 | extra info: tests simple case for sra |
srav, srav, Pass, ES5017, | expected exit code: -2 actual exit code: -2 | extra info: tests simple case for srav |
srl1, srl, Pass, ES5017, | expected output: 2 actual output: 2 | extra info: tests another simple case for srl |
srl, srl, Pass, ES5017, | expected exit code: 7 actual exit code: 7 | extra info: tests simple case for srl |
srlv, srlv, Pass, ES5017, | expected exit code: 3 actual exit code: 3 | extra info: tests case for srlv making sure to only use low 5 order bits of gpr |
sub1, sub, Pass, ES5017, | expected exit code: -10 actual exit code: -10 | extra info: tests that sub correctly traps overflow |
sub2, sub, Pass, ob1717, | expected exit code: -10 actual exit code: -10 | extra info: tests corner case of sub trap initiated |
sub, sub, Pass, ES5017, | expected exit code: 17 actual exit code: 17 | extra info: tests simple case for sub |
subu, subu, Pass, ES5017, | expected exit code: 79 actual exit code: 79 | extra info: does a simple test of subu |
sw1, sw, Pass, ES5017, | expected output: 104 115 actual output: 104 115 | extra info: tests sw with stdout |
sw4, sw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sw5, sw, Pass, ob1717, | expected exit code: 18 actual exit code: 18 |
sw6, sw, Pass, ob1717, | expected exit code: 18 actual exit code: 18 |
sw7, sw, Pass, ob1717, | expected exit code: -11 actual exit code: -11 |
sw, sw, Pass, ES5017, | expected exit code: -51 actual exit code: -51 | extra info: tests simple case for sw |
xori, xori, Pass, ES5017, | expected exit code: 28 actual exit code: 28 | extra info: tests simple case for xori |
xor, xor, Pass, ES5017, | expected exit code: 28 actual exit code: 28 | extra info: tests simple case for xor |
